Vertice: 1 | Pai: 2069 | Level: 4
Vertice: 2 | Pai: 0 | Level: 0
Vertice: 3 | Pai: 8498 | Level: 3
Vertice: 4 | Pai: 8413 | Level: 4
Vertice: 5 | Pai: 2545 | Level: 4
Vertice: 6 | Pai: 3962 | Level: 3
Vertice: 7 | Pai: 2995 | Level: 2
Vertice: 8 | Pai: 3982 | Level: 3
Vertice: 9 | Pai: 9123 | Level: 4
Vertice: 10 | Pai: 8935 | Level: 2
Vertice: 11 | Pai: 9872 | Level: 4
Vertice: 12 | Pai: 1097 | Level: 3
Vertice: 13 | Pai: 9706 | Level: 3
Vertice: 14 | Pai: 8909 | Level: 3
Vertice: 15 | Pai: 5457 | Level: 3
Vertice: 16 | Pai: 5810 | Level: 4
Vertice: 17 | Pai: 1116 | Level: 4
Vertice: 18 | Pai: 229 | Level: 4
Vertice: 19 | Pai: 2428 | Level: 3
Vertice: 20 | Pai: 7541 | Level: 4
Vertice: 21 | Pai: 4099 | Level: 3
Vertice: 22 | Pai: 8531 | Level: 3
Vertice: 23 | Pai: 3164 | Level: 3
Vertice: 24 | Pai: 9253 | Level: 3
Vertice: 25 | Pai: 2011 | Level: 3
Vertice: 26 | Pai: 176 | Level: 4
Vertice: 27 | Pai: 9301 | Level: 3
Vertice: 28 | Pai: 146 | Level: 3
Vertice: 29 | Pai: 6201 | Level: 3
Vertice: 30 | Pai: 8660 | Level: 4
Vertice: 31 | Pai: 2199 | Level: 4
Vertice: 32 | Pai: 2845 | Level: 3
Vertice: 33 | Pai: 9814 | Level: 3
Vertice: 34 | Pai: 8446 | Level: 4
Vertice: 35 | Pai: 1466 | Level: 3
Vertice: 36 | Pai: 1263 | Level: 3
Vertice: 37 | Pai: 1733 | Level: 3
Vertice: 38 | Pai: 4697 | Level: 3
Vertice: 39 | Pai: 3486 | Level: 3
Vertice: 40 | Pai: 5505 | Level: 3
Vertice: 41 | Pai: 8189 | Level: 4
Vertice: 42 | Pai: 1222 | Level: 4
Vertice: 43 | Pai: 5947 | Level: 4
Vertice: 44 | Pai: 413 | Level: 4
Vertice: 45 | Pai: 1344 | Level: 4
Vertice: 46 | Pai: 9006 | Level: 4
Vertice: 47 | Pai: 1087 | Level: 3
Vertice: 48 | Pai: 930 | Level: 4
Vertice: 49 | Pai: 3642 | Level: 4
Vertice: 50 | Pai: 4607 | Level: 4
Vertice: 51 | Pai: 5877 | Level: 4
Vertice: 52 | Pai: 4226 | Level: 3
