Vertice: 1 | Pai: -1 | Level: -1
Vertice: 2 | Pai: 0 | Level: 0
Vertice: 3 | Pai: -1 | Level: -1
Vertice: 4 | Pai: -1 | Level: -1
Vertice: 5 | Pai: -1 | Level: -1
Vertice: 6 | Pai: 24658 | Level: 14062
Vertice: 7 | Pai: -1 | Level: -1
Vertice: 8 | Pai: -1 | Level: -1
Vertice: 9 | Pai: -1 | Level: -1
Vertice: 10 | Pai: 18057 | Level: 16225
Vertice: 11 | Pai: 13499 | Level: 2025
Vertice: 12 | Pai: 10581 | Level: 3695
Vertice: 13 | Pai: 49720 | Level: 23214
Vertice: 14 | Pai: 44757 | Level: 3959
Vertice: 15 | Pai: 19926 | Level: 8341
Vertice: 16 | Pai: -1 | Level: -1
Vertice: 17 | Pai: -1 | Level: -1
Vertice: 18 | Pai: 11084 | Level: 1667
Vertice: 19 | Pai: -1 | Level: -1
Vertice: 20 | Pai: -1 | Level: -1
Vertice: 21 | Pai: -1 | Level: -1
Vertice: 22 | Pai: 20565 | Level: 16538
Vertice: 23 | Pai: 23699 | Level: 22907
Vertice: 24 | Pai: 11774 | Level: 20688
Vertice: 25 | Pai: -1 | Level: -1
Vertice: 26 | Pai: 41817 | Level: 21849
Vertice: 27 | Pai: 25795 | Level: 21137
Vertice: 28 | Pai: -1 | Level: -1
Vertice: 29 | Pai: 29789 | Level: 21188
Vertice: 30 | Pai: -1 | Level: -1
Vertice: 31 | Pai: 15261 | Level: 3624
Vertice: 32 | Pai: -1 | Level: -1
Vertice: 33 | Pai: -1 | Level: -1
Vertice: 34 | Pai: -1 | Level: -1
Vertice: 35 | Pai: -1 | Level: -1
Vertice: 36 | Pai: -1 | Level: -1
Vertice: 37 | Pai: 3979 | Level: 10475
Vertice: 38 | Pai: 11870 | Level: 17225
Vertice: 39 | Pai: -1 | Level: -1
Vertice: 40 | Pai: -1 | Level: -1
Vertice: 41 | Pai: 6160 | Level: 16027
Vertice: 42 | Pai: -1 | Level: -1
Vertice: 43 | Pai: -1 | Level: -1
Vertice: 44 | Pai: 32575 | Level: 10594
Vertice: 45 | Pai: -1 | Level: -1
Vertice: 46 | Pai: -1 | Level: -1
Vertice: 47 | Pai: 8531 | Level: 4003
Vertice: 48 | Pai: -1 | Level: -1
Vertice: 49 | Pai: 35216 | Level: 17721
Vertice: 50 | Pai: 7941 | Level: 13647
Vertice: 51 | Pai: 23389 | Level: 19431
Vertice: 52 | Pai: 46287 | Level: 4960
Vertice: 53 | Pai: 12860 | Level: 9665
Vertice: 54 | Pai: 46939 | Level: 8150
Vertice: 55 | Pai: -1 | Level: -1
Vertice: 56 | Pai: 33019 | Level: 19933
Vertice: 57 | Pai: 30969 | Level: 953
Vertice: 58 | Pai: 44027 | Level: 5988
Vertice: 59 | Pai: 13428 | Level: 19910
Vertice: 60 | Pai: 34571 | Level: 20849
Vertice: 61 | Pai: -1 | Level: -1
Vertice: 62 | Pai: 48405 | Level: 17125
Vertice: 63 | Pai: -1 | Level: -1
Vertice: 64 | Pai: 13407 | Level: 4087
Vertice: 65 | Pai: 25642 | Level: 3924
Vertice: 66 | Pai: -1 | Level: -1
Vertice: 67 | Pai: -1 | Level: -1
Vertice: 68 | Pai: 4276 | Level: 24484
Vertice: 69 | Pai: -1 | Level: -1
Vertice: 70 | Pai: 17849 | Level: 14659
Vertice: 71 | Pai: -1 | Level: -1
Vertice: 72 | Pai: -1 | Level: -1
Vertice: 73 | Pai: -1 | Level: -1
Vertice: 74 | Pai: -1 | Level: -1
Vertice: 75 | Pai: 26614 | Level: 11489
Vertice: 76 | Pai: 21338 | Level: 10522
Vertice: 77 | Pai: -1 | Level: -1
Vertice: 78 | Pai: 28886 | Level: 15998
Vertice: 79 | Pai: 32602 | Level: 7733
Vertice: 80 | Pai: 36190 | Level: 4632
Vertice: 81 | Pai: 20670 | Level: 9452
Vertice: 82 | Pai: -1 | Level: -1
Vertice: 83 | Pai: 44826 | Level: 17875
Vertice: 84 | Pai: -1 | Level: -1
Vertice: 85 | Pai: -1 | Level: -1
Vertice: 86 | Pai: -1 | Level: -1
Vertice: 87 | Pai: -1 | Level: -1
Vertice: 88 | Pai: 34358 | Level: 9311
Vertice: 89 | Pai: -1 | Level: -1
Vertice: 90 | Pai: -1 | Level: -1
Vertice: 91 | Pai: -1 | Level: -1
Vertice: 92 | Pai: 597 | Level: 22991
Vertice: 93 | Pai: 48778 | Level: 4407
Vertice: 94 | Pai: -1 | Level: -1
Vertice: 95 | Pai: -1 | Level: -1
Vertice: 96 | Pai: 18400 | Level: 20198
Vertice: 97 | Pai: 21411 | Level: 24116
Vertice: 98 | Pai: -1 | Level: -1
Vertice: 99 | Pai: -1 | Level: -1
Vertice: 100 | Pai: -1 | Level: -1
Vertice: 101 | Pai: -1 | Level: -1
Vertice: 102 | Pai: 37172 | Level: 6726
Vertice: 103 | Pai: 11320 | Level: 18248
Vertice: 104 | Pai: -1 | Level: -1
Vertice: 105 | Pai: 6156 | Level: 1079
Vertice: 106 | Pai: -1 | Level: -1
Vertice: 107 | Pai: -1 | Level: -1
Vertice: 108 | Pai: -1 | Level: -1
Vertice: 109 | Pai: -1 | Level: -1
Vertice: 110 | Pai: -1 | Level: -1
Vertice: 111 | Pai: -1 | Level: -1
Vertice: 112 | Pai: -1 | Level: -1
Vertice: 113 | Pai: 10150 | Level: 13466
Vertice: 114 | Pai: -1 | Level: -1
Vertice: 115 | Pai: 31423 | Level: 13538
Vertice: 116 | Pai: 4873 | Level: 14467
Vertice: 117 | Pai: -1 | Level: -1
Vertice: 118 | Pai: -1 | Level: -1
Vertice: 119 | Pai: -1 | Level: -1
Vertice: 120 | Pai: 46178 | Level: 22670
Vertice: 121 | Pai: 41239 | Level: 10804
Vertice: 122 | Pai: 34328 | Level: 21791
Vertice: 123 | Pai: 28493 | Level: 8989
Vertice: 124 | Pai: -1 | Level: -1
Vertice: 125 | Pai: -1 | Level: -1
Vertice: 126 | Pai: 14628 | Level: 8671
Vertice: 127 | Pai: 23725 | Level: 7426
Vertice: 128 | Pai: -1 | Level: -1
