Vertice: 1 | Pai: 0 | Level: 0
Vertice: 2 | Pai: -1 | Level: -1
Vertice: 3 | Pai: 1454816 | Level: 67248
Vertice: 4 | Pai: -1 | Level: -1
Vertice: 5 | Pai: 4459503 | Level: 198294
Vertice: 6 | Pai: -1 | Level: -1
Vertice: 7 | Pai: 1890539 | Level: 1986942
Vertice: 8 | Pai: -1 | Level: -1
Vertice: 9 | Pai: 2424049 | Level: 1220915
Vertice: 10 | Pai: 905955 | Level: 1154139
Vertice: 11 | Pai: -1 | Level: -1
Vertice: 12 | Pai: -1 | Level: -1
Vertice: 13 | Pai: 1854033 | Level: 1788017
Vertice: 14 | Pai: -1 | Level: -1
Vertice: 15 | Pai: -1 | Level: -1
Vertice: 16 | Pai: -1 | Level: -1
Vertice: 17 | Pai: -1 | Level: -1
Vertice: 18 | Pai: -1 | Level: -1
Vertice: 19 | Pai: 4429737 | Level: 1989058
Vertice: 20 | Pai: -1 | Level: -1
Vertice: 21 | Pai: -1 | Level: -1
Vertice: 22 | Pai: -1 | Level: -1
Vertice: 23 | Pai: 4595645 | Level: 731968
Vertice: 24 | Pai: 2059854 | Level: 582515
Vertice: 25 | Pai: -1 | Level: -1
Vertice: 26 | Pai: 2574652 | Level: 1981941
Vertice: 27 | Pai: -1 | Level: -1
Vertice: 28 | Pai: -1 | Level: -1
Vertice: 29 | Pai: -1 | Level: -1
Vertice: 30 | Pai: 2502539 | Level: 1783393
Vertice: 31 | Pai: 201111 | Level: 1354495
Vertice: 32 | Pai: 1220632 | Level: 620863
Vertice: 33 | Pai: 603353 | Level: 457299
Vertice: 34 | Pai: -1 | Level: -1
Vertice: 35 | Pai: -1 | Level: -1
Vertice: 36 | Pai: 3598958 | Level: 822256
Vertice: 37 | Pai: -1 | Level: -1
Vertice: 38 | Pai: -1 | Level: -1
Vertice: 39 | Pai: -1 | Level: -1
Vertice: 40 | Pai: 2210298 | Level: 1426682
Vertice: 41 | Pai: -1 | Level: -1
Vertice: 42 | Pai: -1 | Level: -1
Vertice: 43 | Pai: 4581080 | Level: 1646183
Vertice: 44 | Pai: 815122 | Level: 421453
Vertice: 45 | Pai: -1 | Level: -1
Vertice: 46 | Pai: 1802569 | Level: 390858
Vertice: 47 | Pai: 2480587 | Level: 1621713
Vertice: 48 | Pai: -1 | Level: -1
Vertice: 49 | Pai: -1 | Level: -1
Vertice: 50 | Pai: 2547524 | Level: 127508
Vertice: 51 | Pai: 4223027 | Level: 1930199
Vertice: 52 | Pai: 527783 | Level: 1885548
Vertice: 53 | Pai: -1 | Level: -1
Vertice: 54 | Pai: -1 | Level: -1
Vertice: 55 | Pai: -1 | Level: -1
Vertice: 56 | Pai: 187528 | Level: 1063663
Vertice: 57 | Pai: -1 | Level: -1
Vertice: 58 | Pai: -1 | Level: -1
Vertice: 59 | Pai: -1 | Level: -1
Vertice: 60 | Pai: 3533555 | Level: 310518
Vertice: 61 | Pai: 344002 | Level: 874387
Vertice: 62 | Pai: 2240167 | Level: 145932
Vertice: 63 | Pai: -1 | Level: -1
Vertice: 64 | Pai: 3818123 | Level: 1967951
Vertice: 65 | Pai: 4047397 | Level: 1912783
Vertice: 66 | Pai: 2288818 | Level: 1746284
Vertice: 67 | Pai: 3210079 | Level: 1838382
Vertice: 68 | Pai: -1 | Level: -1
Vertice: 69 | Pai: 339562 | Level: 25757
Vertice: 70 | Pai: 2498308 | Level: 163707
Vertice: 71 | Pai: -1 | Level: -1
Vertice: 72 | Pai: 4588046 | Level: 988885
Vertice: 73 | Pai: 2692382 | Level: 1948265
Vertice: 74 | Pai: -1 | Level: -1
Vertice: 75 | Pai: 544777 | Level: 1898235
Vertice: 76 | Pai: -1 | Level: -1
Vertice: 77 | Pai: -1 | Level: -1
Vertice: 78 | Pai: 4065342 | Level: 320152
Vertice: 79 | Pai: 479180 | Level: 1047164
Vertice: 80 | Pai: -1 | Level: -1
Vertice: 81 | Pai: -1 | Level: -1
Vertice: 82 | Pai: -1 | Level: -1
Vertice: 83 | Pai: 2241047 | Level: 755412
Vertice: 84 | Pai: -1 | Level: -1
Vertice: 85 | Pai: -1 | Level: -1
Vertice: 86 | Pai: -1 | Level: -1
Vertice: 87 | Pai: -1 | Level: -1
Vertice: 88 | Pai: -1 | Level: -1
Vertice: 89 | Pai: 4343956 | Level: 431504
Vertice: 90 | Pai: 694302 | Level: 1527214
Vertice: 91 | Pai: -1 | Level: -1
Vertice: 92 | Pai: -1 | Level: -1
Vertice: 93 | Pai: 280357 | Level: 1802266
Vertice: 94 | Pai: 2816492 | Level: 1693173
Vertice: 95 | Pai: -1 | Level: -1
Vertice: 96 | Pai: -1 | Level: -1
Vertice: 97 | Pai: -1 | Level: -1
Vertice: 98 | Pai: -1 | Level: -1
Vertice: 99 | Pai: 1426904 | Level: 1627929
Vertice: 100 | Pai: 4412736 | Level: 1142730
